Date,Actual,Forecast
2023-09-26,170.48526000976562,171.86006
2023-09-27,168.96836853027344,171.46529
2023-09-28,169.2261505126953,170.81624
2023-09-29,169.74171447753906,170.11607
2023-10-02,172.25990295410156,169.50188
2023-10-03,170.9215087890625,169.26103
2023-10-04,172.17068481445312,169.11256
2023-10-05,173.40997314453125,169.19008
2023-10-06,175.9678497314453,169.52237
2023-10-09,177.45497131347656,170.24126
2023-10-10,176.86013793945312,171.2648
2023-10-11,178.25804138183594,172.3053
2023-10-12,179.16021728515625,173.41235
2023-10-13,177.31616210937503,174.53108
2023-10-16,177.1872863769531,175.33981
2023-10-17,175.63075256347656,175.87935
2023-10-18,174.33197021484375,176.0272
2023-10-19,173.9552764892578,175.78862
2023-10-20,171.39736938476562,175.29884
2023-10-23,171.51634216308594,174.42616
2023-10-24,171.95257568359375,173.43626
2023-10-25,169.63265991210938,172.50856
2023-10-26,165.45875549316406,171.4583
2023-10-27,166.77734375,170.02307
2023-10-30,168.82957458496094,168.67392
2023-10-31,169.30548095703125,167.70705
2023-11-01,172.47802734375,167.10254
2023-11-02,176.0471649169922,167.11946
2023-11-03,175.13504028320312,167.8733
2023-11-06,177.6929168701172,168.89365
2023-11-07,180.2607116699219,170.27397
2023-11-08,181.321533203125,171.994
2023-11-09,180.84565734863278,173.84648
2023-11-10,185.04487609863284,175.54099
2023-11-13,183.45652770996094,177.41924
2023-11-14,186.07733154296875,179.00536
2023-11-15,186.64320373535156,180.54495
2023-11-16,188.33084106445312,181.92474
2023-11-17,188.31097412109375,183.23315
2023-11-20,190.0581817626953,184.33673
2023-11-21,189.2540740966797,185.38138
2023-11-22,189.919189453125,186.1694
2023-11-24,188.5889434814453,186.79172
2023-11-27,188.41026306152344,187.0895
2023-11-28,189.0157928466797,187.14413
2023-11-29,187.99331665039065,187.09969
2023-11-30,188.56909179687503,186.87317
2023-12-01,189.84970092773438,186.62454
2023-12-04,188.05287170410156,186.51169
2023-12-05,192.01385498046875,186.28465
2023-12-06,190.92185974121094,186.4542
2023-12-07,192.85768127441406,186.688
2023-12-08,194.28721618652344,187.16231
2023-12-11,191.7755889892578,187.87076
2023-12-12,193.29449462890625,188.37152
2023-12-13,196.5208740234375,188.88956
2023-12-14,196.66975402832028,189.69113
2023-12-15,196.13368225097656,190.56352
2023-12-18,194.46591186523435,191.33548
2023-12-19,195.5082702636719,191.79663
2023-12-20,193.41360473632812,192.14857
2023-12-21,193.2646789550781,192.15453
2023-12-22,192.19253540039062,191.95094
2023-12-26,191.6465606689453,191.51921
2023-12-27,191.74581909179688,190.9392
2023-12-28,192.17271423339844,190.3385
2023-12-29,191.1303253173828,189.82666
